ID,crop,distr,prov,year,years,area,prod,yield
1,cotton,Bagh,AJK,1999,1999-00,0.00,0.00,0
2,cotton,Bhimber,AJK,1999,1999-00,0.00,0.00,0
3,cotton,Hattian,AJK,1999,1999-00,0.00,0.00,0
4,cotton,Haveli,AJK,1999,1999-00,0.00,0.00,0
5,cotton,Kotli,AJK,1999,1999-00,0.00,0.00,0
6,cotton,Mirpur,AJK,1999,1999-00,0.00,0.00,0
7,cotton,Muzaffarabad,AJK,1999,1999-00,0.00,0.00,0
8,cotton,Neelam,AJK,1999,1999-00,0.00,0.00,0
9,cotton,Poonch,AJK,1999,1999-00,0.00,0.00,0
10,cotton,Sudhnoti,AJK,1999,1999-00,0.00,0.00,0
11,cotton,Awaran,BALOCHISTAN,1999,1999-00,0.00,0.00,0
12,cotton,Barkhan,BALOCHISTAN,1999,1999-00,0.60,1.70,482
13,cotton,Bolan,BALOCHISTAN,1999,1999-00,1.50,4.40,499
14,cotton,Chagai,BALOCHISTAN,1999,1999-00,0.00,0.00,0
15,cotton,Dera Bugti,BALOCHISTAN,1999,1999-00,0.00,0.00,0
16,cotton,Gwadar,BALOCHISTAN,1999,1999-00,0.00,0.00,0
17,cotton,Jafarabad,BALOCHISTAN,1999,1999-00,4.80,13.90,492
18,cotton,Jhal Magsi,BALOCHISTAN,1999,1999-00,1.00,2.90,493
19,cotton,Kalat,BALOCHISTAN,1999,1999-00,0.00,0.00,0
20,cotton,Kech,BALOCHISTAN,1999,1999-00,0.00,0.00,0
21,cotton,Kharan,BALOCHISTAN,1999,1999-00,0.00,0.00,0
22,cotton,Khuzdar,BALOCHISTAN,1999,1999-00,4.00,11.50,489
23,cotton,Kohlu,BALOCHISTAN,1999,1999-00,0.50,1.40,476
24,cotton,Lasbela,BALOCHISTAN,1999,1999-00,3.50,10.20,495
25,cotton,Loralai,BALOCHISTAN,1999,1999-00,0.10,0.10,170
26,cotton,Mastung,BALOCHISTAN,1999,1999-00,0.00,0.00,0
27,cotton,Musakhel,BALOCHISTAN,1999,1999-00,0.00,0.00,0
28,cotton,Nasirabad,BALOCHISTAN,1999,1999-00,3.20,9.50,505
