ID_fer;prov;year;mon;factor;value;  (offtake tons);order
1;AJK;2014;Oct;Nitrogen;;;10
2;FATA;2014;Oct;Nitrogen;;;10
3;GILGIT BALTISTAN;2014;Oct;Nitrogen;;77;10
4;DISPUTED AREA;2014;Oct;Nitrogen;;;10
5;FEDERAL;2014;Oct;Nitrogen;;;10
6;PUNJAB;2014;Oct;Nitrogen;145984;;10
7;SINDH;2014;Oct;Nitrogen;50118;7,6;10
8;KPK;2014;Oct;Nitrogen;13606;;10
9;BALOCHISTAN;2014;Oct;Nitrogen;8610;;10
10;AJK;2014;Nov;Nitrogen;;;11
11;FATA;2014;Nov;Nitrogen;;;11
12;GILGIT BALTISTAN;2014;Nov;Nitrogen;;;11
13;DISPUTED AREA;2014;Nov;Nitrogen;;;11
14;FEDERAL;2014;Nov;Nitrogen;;;11
15;PUNJAB;2014;Nov;Nitrogen;159177;;11
16;SINDH;2014;Nov;Nitrogen;67328;;11
17;KPK;2014;Nov;Nitrogen;11586;;11
18;BALOCHISTAN;2014;Nov;Nitrogen;6684;;11
19;AJK;2014;Dec;Nitrogen;;;12
20;FATA;2014;Dec;Nitrogen;;;12
21;GILGIT BALTISTAN;2014;Dec;Nitrogen;;;12
22;DISPUTED AREA;2014;Dec;Nitrogen;;;12
23;FEDERAL;2014;Dec;Nitrogen;;;12
24;PUNJAB;2014;Dec;Nitrogen;179055;;12
25;SINDH;2014;Dec;Nitrogen;68415;;12
26;KPK;2014;Dec;Nitrogen;14514;;12
27;BALOCHISTAN;2014;Dec;Nitrogen;6101;;12
28;AJK;2014;Oct;Phosphate;;;10
29;FATA;2014;Oct;Phosphate;;;10
30;GILGIT BALTISTAN;2014;Oct;Phosphate;;;10
31;DISPUTED AREA;2014;Oct;Phosphate;;;10
32;FEDERAL;2014;Oct;Phosphate;;;10
33;PUNJAB;2014;Oct;Phosphate;52976;;10
34;SINDH;2014;Oct;Phosphate;12143;;10
35;KPK;2014;Oct;Phosphate;4104;;10
36;BALOCHISTAN;2014;Oct;Phosphate;1881;;10
37;AJK;2014;Nov;Phosphate;;;11
38;FATA;2014;Nov;Phosphate;;;11
39;GILGIT BALTISTAN;2014;Nov;Phosphate;;;11
40;DISPUTED AREA;2014;Nov;Phosphate;;;11
41;FEDERAL;2014;Nov;Phosphate;;;11
42;PUNJAB;2014;Nov;Phosphate;50084;;11
43;SINDH;2014;Nov;Phosphate;14412;;11
44;KPK;2014;Nov;Phosphate;2769;;11
45;BALOCHISTAN;2014;Nov;Phosphate;1460;;11
46;AJK;2014;Dec;Phosphate;;;12
47;FATA;2014;Dec;Phosphate;;;12
48;GILGIT BALTISTAN;2014;Dec;Phosphate;;;12
49;DISPUTED AREA;2014;Dec;Phosphate;;;12
50;FEDERAL;2014;Dec;Phosphate;;;12
51;PUNJAB;2014;Dec;Phosphate;35025;;12
52;SINDH;2014;Dec;Phosphate;7252;;12
53;KPK;2014;Dec;Phosphate;2577;;12
54;BALOCHISTAN;2014;Dec;Phosphate;683;;12
55;AJK;2014;Oct;Potash;;;10
56;FATA;2014;Oct;Potash;;;10
57;GILGIT BALTISTAN;2014;Oct;Potash;;;10
58;DISPUTED AREA;2014;Oct;Potash;;;10
59;FEDERAL;2014;Oct;Potash;;;10
60;PUNJAB;2014;Oct;Potash;1471;;10
61;SINDH;2014;Oct;Potash;369;;10
62;KPK;2014;Oct;Potash;135;;10
63;BALOCHISTAN;2014;Oct;Potash;51;;10
64;AJK;2014;Nov;Potash;;;11
65;FATA;2014;Nov;Potash;;;11
66;GILGIT BALTISTAN;2014;Nov;Potash;;;11
67;DISPUTED AREA;2014;Nov;Potash;;;11
68;FEDERAL;2014;Nov;Potash;;;11
69;PUNJAB;2014;Nov;Potash;731;;11
70;SINDH;2014;Nov;Potash;234;;11
71;KPK;2014;Nov;Potash;22;;11
72;BALOCHISTAN;2014;Nov;Potash;38;;11
73;AJK;2014;Dec;Potash;;;12
74;FATA;2014;Dec;Potash;;;12
75;GILGIT BALTISTAN;2014;Dec;Potash;;;12
76;DISPUTED AREA;2014;Dec;Potash;;;12
77;FEDERAL;2014;Dec;Potash;;;12
78;PUNJAB;2014;Dec;Potash;617;;12
79;SINDH;2014;Dec;Potash;277;;12
80;KPK;2014;Dec;Potash;49;;12
81;BALOCHISTAN;2014;Dec;Potash;24;;12
