id;year;month;decade;province;district;river;withdrawal;waterFlow
4;2014;dec;1;PUNJAB;Multan;plate;45;
6;2014;apr;2;PUNJAB;Gujranwala;tucson;;7
8;2014;jan;3;PUNJAB;Sahiwal;mendelson;87;
;2014;jun;1;PUNJAB;Dera Ghazi Khan;volga;;
;2014;aug;2;KPK;Faisalabad;unuarhai;;
;2000;dec;3;KPK;Mirpur;unuarhai;;
;2000;apr;1;KPK;Badin;unuarhai;;
;2000;jan;2;KPK;Naushahro Feroze;mendelson;;
;2000;jun;3;SINDH;Shaheed Benazirabad;mendelson;;
234234;2000;aug;1;SINDH;Thatta;mendelson;;45
234234;2000;mar;2;SINDH;Dera Ismail Khan;mendelson;87;
;2000;feb;3;SINDH;Dera Ismail Khan;plate;;
